%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.67,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
99.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
